"text";"screenName";"created"
"Em 2002: https://t.co/uyLeFSddWz";"CarlosBolsonaro";2019-03-01 12:18:23
"Mais uma polícia, agora a PMDF, recolhe armas defeituosas e proibe, por dois anos, a Taurus de participar de licita… https://t.co/8DptrnQgZV";"CarlosBolsonaro";2019-03-01 00:55:05
"Contra a segregação de classes para obtenção de votos, exponho a verdade para que o Brasil sempre se una! Somos tod… https://t.co/QDSi5l636C";"CarlosBolsonaro";2019-02-28 23:25:04
"Pronto. Projeto de lei de vereador do PDT criando espécie de quilombo dentro da cidade como dívida histórica com de… https://t.co/iBYEdYRj34";"CarlosBolsonaro";2019-02-28 20:44:49
"<U+0001F449><U+0001F3FB><U+0001F449><U+0001F3FB>... https://t.co/DEQjJMMfBP";"CarlosBolsonaro";2019-02-28 14:44:23
"Jornais “fazem histórico” de sua atividade parlamentar e “esquecem” de muitos posicionamentos. Quando você  lembra… https://t.co/NZSKXhn6Sz";"CarlosBolsonaro";2019-02-28 12:26:34
"Agora os mortadelas piram... https://t.co/ET1yp5Oha6";"CarlosBolsonaro";2019-02-28 11:07:41
"Mais uma das muitas da série: “essa eles não te contam”... https://t.co/THoiZVBbgz";"CarlosBolsonaro";2019-02-28 10:04:10
"Meu Deus, hoje teve votação de projeto que obrigava supermercados a terem lupas para compradores leem os rótulos de… https://t.co/EBAAQa8UWK";"CarlosBolsonaro";2019-02-28 00:51:27
"Há muitos anos, constitucional ou não, manobra para tentar aumentar de 42 para 51 vereadores no Rio, contou somente… https://t.co/RsMF3jRPzG";"CarlosBolsonaro";2019-02-27 17:48:16
"Você encontra estas leis e muitas outras dando uma rápida pesquisada. Sabemos que os ativistas se rasgarão, mas seg… https://t.co/EiXM2FaQYH";"CarlosBolsonaro";2019-02-27 15:26:00
"O Globo faz matéria sobre minha produção parlamentar e “esquece” de dizer entre muitos projetos, que fui autor do p… https://t.co/zReKYbpXy4";"CarlosBolsonaro";2019-02-27 12:40:05
"imagine se fosse um candidato à presidência do PSOL levando uma facada de um ex-integrante do partido de Bolsonaro… https://t.co/RaeoEAjiBX";"CarlosBolsonaro";2019-02-26 17:04:12
"Joice, sei o quanto tem batalhado na Nova Previdência! Apenas citei os estados prioridades do governador de SP. Des… https://t.co/P8TcV64Z7j";"CarlosBolsonaro";2019-02-26 15:02:55
"Todos contribuirão com a nova previdência, cortando regalias de políticos a magistrados. Nenhum governo jamais teve… https://t.co/ZF1syDfUi4";"CarlosBolsonaro";2019-02-26 13:57:00
"O mercado da tilápia no RJ é um dos que tem maior potencial de crescimento no país. Que o estudo da desburocratizaç… https://t.co/71SmB4v0Wl";"CarlosBolsonaro";2019-02-26 13:52:15
"Notícia via UOL: SP, RJ e BA. https://t.co/BeQsGPWHnr";"CarlosBolsonaro";2019-02-26 13:27:15
"Gostaria de ver mais deputados eleitos por Bolsonaro defendendo a não tão popular, mas necessária proposta da nova… https://t.co/6N9wBafm0a";"CarlosBolsonaro";2019-02-26 10:48:25
"É lamentável assistir notoriamente a rede bobo, insistindo em criar falsas intrigas entre generais, presidente e fi… https://t.co/QicwRylpE9";"CarlosBolsonaro";2019-02-25 22:40:16
"NOVA PREVIDÊNCIA: assista aqui, tire muitas dúvidas e desminta muitas desinformações divulgadas propositalmente: https://t.co/5FRWF6HAsS";"CarlosBolsonaro";2019-02-25 15:37:23
"A aproximação cultural com quem tem algo pareciso conosco é algo fundamental para que o ocidente continue vivo. A d… https://t.co/nIrnWsq4ex";"CarlosBolsonaro";2019-02-25 14:58:19
"O Deputado Federal @BolsonaroSP é recepcionado por Republicanos em evento nos EUA. <U+2764><U+FE0F> https://t.co/yO538LZAxr";"CarlosBolsonaro";2019-02-25 00:52:17
"A reflexão é válida e extremamente realista: se o PT tivesse vencido as últimas eleições presidenciais junto com o… https://t.co/hhub4Nvvko";"CarlosBolsonaro";2019-02-24 17:39:08
"Boa noite a todos! <U+0001F602><U+0001F602><U+0001F602> https://t.co/ubOT2ozSsl";"CarlosBolsonaro";2019-02-23 23:36:58
"<U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602>! Um grande abraço a um dos Generais que mais admiro desde muito antes da eleição do Presidente Bolsonaro! https://t.co/FU7y5WM5EV";"CarlosBolsonaro";2019-02-23 17:20:50
"Fazer parte da libertação de um país vizinho dos braços do socialismo não tem apenas um aceno humanitário com o pov… https://t.co/osgBem4iTo";"CarlosBolsonaro";2019-02-23 15:05:07
"<U+0001F44D><U+0001F3FB><U+0001F446><U+0001F3FB><U+0001F446><U+0001F3FB> https://t.co/1KI1VUjO1T";"CarlosBolsonaro";2019-02-22 22:27:51
"Ferrovias, aeroportos e rodovias no Brasil e não em países alinhados ideologicamente, desviando nosso dinheiro, com… https://t.co/HxYejEasm9";"CarlosBolsonaro";2019-02-22 20:36:37
"Bom trabalho! A ajuda humanitária é uma questão de direitos humanos diante de um povo massacrado e assassinado por… https://t.co/5PCMScAnkE";"CarlosBolsonaro";2019-02-22 11:30:25
"Eu e Edivaldo, que lê jornal O Dia, hoje pela manhã na Câmara de Vereadores. Confesso que a função real deste jorna… https://t.co/gDL7Ku9MYz";"CarlosBolsonaro";2019-02-22 10:33:40
"Infelizmente a antiga briga do orçamento impositivo foi perdida este ano. O projeto de lei foi rejeitado faltando p… https://t.co/hfzekRReXj";"CarlosBolsonaro";2019-02-21 20:42:35
"O “isentão”, ahhhh o “isentão”....";"CarlosBolsonaro";2019-02-21 19:10:42
"Essa é a resposta de quem espera toma-lá-dá-cá. Investimentos para todo o Brasil, e até à opositores, a resposta qu… https://t.co/EJeQRis0FG";"CarlosBolsonaro";2019-02-21 15:44:52
"O Rio de Janeiro e todas as capitais e interior do Brasil agradecem o empenho verdadeiro deste governo ao iniciar a… https://t.co/jNdfYX1tOU";"CarlosBolsonaro";2019-02-21 12:22:46
"Até que ponto chegarão? https://t.co/WL2v2luTpV";"CarlosBolsonaro";2019-02-21 00:16:19
"Nenhuma outra proposta de reforma foi tão firme contra privilégios. Está claro no texto da Nova Previdência: quem t… https://t.co/foyRf4A3hr";"CarlosBolsonaro";2019-02-20 23:00:33
"Hoje pude conversar com vários vereadores e pretendemos, na forma da lei, levar considerações do município do Rio d… https://t.co/d4kKfK5mls";"CarlosBolsonaro";2019-02-20 21:18:25
"<U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB> https://t.co/yhcKi1BVrX";"CarlosBolsonaro";2019-02-20 18:53:34
"Nós cariocas e cidadãos de todo Brasil precisamos avançar e cobrar esta pauta do Congresso Nacional! Reformas e pro… https://t.co/1DjY7rYOPi";"CarlosBolsonaro";2019-02-20 16:01:29
"Ajuda humanitária a Venezuela: o Brasil fazendo sua parte de principal país da América do Sul. Há prioridades em no… https://t.co/4zrafBc9XE";"CarlosBolsonaro";2019-02-20 13:15:46
"A @AdvocaciaGeral acionou a justiça para que que o MTST, CUT e MST paguem por estragos ao patrimônio público em ato… https://t.co/ZhE6Zgf4cH";"CarlosBolsonaro";2019-02-20 00:56:24
"Hoje a Câmara de vereadores se debruçou o dia inteiro em um projeto de lei que cria a lei Rouanet municipal. Emenda… https://t.co/cAAtH3SLgp";"CarlosBolsonaro";2019-02-19 22:28:10
"Os programas de fofocas continuam. Lamentavelmente! Quem perde? O Brasil e a credibilidade de bons jornalistas, poi… https://t.co/lXuxhev5It";"CarlosBolsonaro";2019-02-19 15:53:36
"Parabéns aos envolvidos! https://t.co/TH9Pt5fOUR";"CarlosBolsonaro";2019-02-19 15:00:08
"Legítima defesa é algo ignorado pela esquerda (PT, PSOL, PCdoB, REDE...) que a garantia deste dispositivo, atualmen… https://t.co/gcoOT9UYFf";"CarlosBolsonaro";2019-02-19 14:14:35
"Conheça um pouco mais sobre o porto do Açu-RJ, o governo federal priorizando o Brasil e não Cuba. Esta é uma parte… https://t.co/eCRgQRjpk3";"CarlosBolsonaro";2019-02-19 12:05:59
"A Ministra @DamaresAlves e sua preocupação com a correta aplicabilidade do dinheiro público! O Brasil precisa desmo… https://t.co/Wqy5n3zoVE";"CarlosBolsonaro";2019-02-19 01:27:52
"Geração de empregos e desenvolvimento! O Rio de Janeiro e a economia brasileira agradecem! https://t.co/Bu4d8h15a5";"CarlosBolsonaro";2019-02-19 01:02:14
"Se esta senhora tivesse como se defender, e fosse de sua vontade, uma arma de fogo legal resolveria justamente este… https://t.co/gOk9u3YoTl";"CarlosBolsonaro";2019-02-19 00:47:22
"Recebendo a visita da mãe e bater aquele rango que só ela sabe fazer! <U+0001F64C><U+0001F3FB> https://t.co/Z90CafOZra";"CarlosBolsonaro";2019-02-19 00:35:21
"REDE, PT, PSOL.... https://t.co/nnCiqzS7S2";"CarlosBolsonaro";2019-02-18 22:47:44
"Assinamos a CPI das enchentes devido a fato público de que recursos para combate a contenção de encostas no Rio de… https://t.co/eMTFWzUxgR";"CarlosBolsonaro";2019-02-15 20:22:51
